Registration_number,Current_Semester
ciit/fa16-bcs-431/isb,Semester 8
ciit/fa16-bcs-48/isb,Semester 8
ciit/fa16-bcs-499/isb,Semester 3
ciit/fa16-bcs-502/isb,Semester 2
ciit/fa16-bcs-518/isb,Semester 8
ciit/fa16-bcs-666/isb,Semester 8
ciit/fa16-bcs-668/isb,Semester 8
ciit/fa16-bcs-701/isb,Semester 8
ciit/fa16-bcs-710/isb,Semester 8
ciit/fa16-bcs-763/isb,Semester 8
ciit/fa16-bcs-769/isb,Semester 8
ciit/fa16-bcs-787/isb,Semester 8
ciit/fa16-bcs-84/isb,Semester 2
ciit/fa16-bcs-841/isb,Semester 8
ciit/fa16-bcs-868/isb,Semester 10
ciit/fa16-bcs-880/isb,Semester 8
ciit/fa16-bcs-907/isb,Semester 8
ciit/fa16-bcs-916/isb,Semester 8
ciit/fa16-bcs-944/isb,Semester 1
ciit/fa16-bcs-983/isb,Semester 8
ciit/fa16-bcs-999/isb,Semester 8
ciit/fa16-bse-1/isb,Semester 6
ciit/fa16-bse-1024/isb,Semester 8
ciit/fa16-bse-1120/isb,Semester 8
ciit/fa16-bse-1166/isb,Semester 10
ciit/fa16-bse-1214/isb,Semester 10
ciit/fa16-bse-1242/isb,Semester 9
ciit/fa16-bse-128/isb,Semester 8
ciit/fa16-bse-1286/isb,Semester 8
ciit/fa16-bse-1297/isb,Semester 8
ciit/fa16-bse-1301/isb,Semester 8
ciit/fa16-bse-1302/isb,Semester 8
ciit/fa16-bse-1324/isb,Semester 8
ciit/fa16-bse-1325/isb,Semester 9
ciit/fa16-bse-1330/isb,Semester 8
ciit/fa16-bse-137/isb,Semester 8
ciit/fa16-bse-1417/isb,Semester 1
ciit/fa16-bse-1423/isb,Semester 6
ciit/fa16-bse-1435/isb,Semester 8
ciit/fa16-bse-1453/isb,Semester 9
ciit/fa16-bse-1486/isb,Semester 8
ciit/fa16-bse-1497/isb,Semester 8
ciit/fa16-bse-1516/isb,Semester 8
ciit/fa16-bse-1538/isb,Semester 8
ciit/fa16-bse-1581/isb,Semester 1
ciit/fa16-bse-1596/isb,Semester 1
ciit/fa16-bse-1602/isb,Semester 1
ciit/fa16-bse-1614/isb,Semester 8
ciit/fa16-bse-1635/isb,Semester 1
ciit/fa16-bse-1636/isb,Semester 8
ciit/fa16-bse-168/isb,Semester 8
ciit/fa16-bse-1683/isb,Semester 10
ciit/fa16-bse-1702/isb,Semester 8
ciit/fa16-bse-1718/isb,Semester 9
ciit/fa16-bse-1722/isb,Semester 8
ciit/fa16-bse-173/isb,Semester 8
ciit/fa16-bse-1730/isb,Semester 8
ciit/fa16-bse-1735/isb,Semester 10
ciit/fa16-bse-177/isb,Semester 8
ciit/fa16-bse-1791/isb,Semester 1
ciit/fa16-bse-18/isb,Semester 8
ciit/fa16-bse-1833/isb,Semester 2
ciit/fa16-bse-1902/isb,Semester 8
ciit/fa16-bse-1911/isb,Semester 10
