Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat,Course_GPA
ciit/fa15-bse-2006/isb,csc110,7,8,9,8,8,10,4,7,16,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.71
ciit/fa15-bse-2063/isb,csc110,1,6,9,6,8,6,1,9,21,29,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.32
ciit/fa15-bse-21/isb,csc110,5,10,4,2,3,5,4,8,22,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.77
ciit/fa15-bse-2242/isb,csc110,7,4,10,8,3,3,1,4,17,39,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.27
ciit/fa15-bse-225/isb,csc110,9,8,3,8,3,4,8,3,25,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.17
ciit/fa15-bse-2256/isb,csc110,5,9,7,9,3,1,7,2,25,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.6
ciit/fa15-bse-2305/isb,csc110,2,5,5,1,4,4,8,4,18,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.34
ciit/fa15-bse-2310/isb,csc110,6,4,10,7,3,1,10,10,17,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.83
ciit/fa15-bse-2388/isb,csc110,5,2,9,2,7,4,2,8,17,32,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.54
ciit/fa15-bse-2436/isb,csc110,9,6,10,1,5,2,9,2,17,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.12
ciit/fa15-bse-2456/isb,csc110,9,4,5,9,5,7,3,2,21,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.95
ciit/fa15-bse-2509/isb,csc110,5,10,6,1,7,8,7,3,15,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.1
ciit/fa15-bse-2513/isb,csc110,1,8,3,6,2,1,5,10,22,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.31
ciit/fa15-bse-2531/isb,csc110,4,2,2,3,4,1,8,7,19,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.35
ciit/fa15-bse-2579/isb,csc110,7,5,6,3,9,5,2,5,16,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.67
ciit/fa15-bse-2591/isb,csc110,3,4,2,6,4,10,4,7,21,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.27
ciit/fa15-bse-2639/isb,csc110,7,7,3,10,3,6,3,9,19,32,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.04
ciit/fa15-bse-2716/isb,csc110,4,10,6,10,9,4,9,7,24,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.84
ciit/fa15-bse-2749/isb,csc110,1,9,10,3,4,8,3,7,24,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.14
ciit/fa15-bse-2751/isb,csc110,6,10,6,6,6,9,4,7,16,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.62
ciit/fa15-bse-2787/isb,csc110,2,9,10,10,9,6,10,7,18,42,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.56
ciit/fa15-bse-281/isb,csc110,5,4,8,7,8,10,5,10,17,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.67
ciit/fa15-bse-2879/isb,csc110,7,2,6,9,5,10,9,4,18,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.02
ciit/fa15-bse-2897/isb,csc110,10,7,2,4,6,7,5,4,17,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.23
ciit/fa15-bse-2920/isb,csc110,7,5,7,5,6,2,1,6,20,39,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.06
ciit/fa15-bse-3026/isb,csc110,3,8,6,8,5,1,1,10,21,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.02
ciit/fa15-bse-3032/isb,csc110,7,5,3,5,3,8,5,3,15,38,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.27
ciit/fa15-bse-3037/isb,csc110,9,7,6,3,5,4,10,10,20,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.42
ciit/fa15-bse-3112/isb,csc110,9,2,2,1,1,5,4,7,17,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.08
ciit/fa15-bse-3114/isb,csc110,6,1,7,5,1,10,10,3,22,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.3
ciit/fa15-bse-3150/isb,csc110,1,9,6,7,9,1,5,7,16,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.67
ciit/fa15-bse-3188/isb,csc110,1,9,6,6,9,4,5,2,24,29,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.8
ciit/fa15-bse-3198/isb,csc110,9,9,4,9,3,7,1,2,20,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.48
ciit/fa15-bse-3234/isb,csc110,9,3,1,3,7,7,1,5,24,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.13
ciit/fa15-bse-3235/isb,csc110,3,3,4,6,6,9,6,2,15,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.27
ciit/fa15-bse-3244/isb,csc110,1,2,6,10,2,7,6,3,25,38,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.73
ciit/fa15-bse-3264/isb,csc110,8,5,10,5,10,4,10,8,19,42,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.02
ciit/fa15-bse-3299/isb,csc110,6,8,1,4,5,3,6,7,21,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.46
ciit/fa15-bse-335/isb,csc110,8,10,7,7,10,8,6,7,19,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.93
ciit/fa15-bse-3351/isb,csc110,7,5,10,1,4,7,3,6,25,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.41
