Registration_number,Gender_id,Domicile_id,Program_id,Session_id,Year_id,Status_id,Merit_rank,Academic_Standing_University,Academic_Standing_Department,Academic_Standing_Batch,PreAdmission_Score,Max_PreAdmission_score,Average_CourseCode_HUM_Gpa,Average_CourseCode_CSC_Gpa,Average_CourseCode_MTH_Gpa,Average_CourseCode_PHY_Gpa,Average_CourseCode_EEE_Gpa,Average_CourseCode_BIO_Gpa,Average_CourseCode_CSE_Gpa,Average_CourseCode_MGT_Gpa,Average_CourseCode_ENV_Gpa,Average_CourseCode_CSD_Gpa,Matric_inter_Improvement_index,Average_CGPA,Matric_Degree_id,Matric_Board_id,Matric_Marks,Max_Matric_Marks,Matric_Percentage,Matric_Rank,Matric_Board_Performance_Avg_Standpoint,Matric_Degree_Performance_Avg_Standpoint,Matric_Domicile_Performance_Avg_Standpoint,Matric_Performance_Avg_Standpoint,Matric_Student_Performance_Score,Inter_Board_id,Inter_Degree_id,Inter_Subject_id,Inter_Marks,Max_Inter_Marks,Inter_Percentage,Inter_Rank,Inter_Board_Performance_Avg_Standpoint,Inter_Degree_Performance_Avg_Standpoint,Inter_Domicile_Performance_Avg_Standpoint,Inter_Subject_Performance_Avg_Standpoint,inter_performance_Avg_Standpoint,Inter_Student_Performance_score,GPA_Semester_1,GPA_Semester_2,GPA_Semester_3,GPA_Semester_4,GPA_Semester_5,GPA_Semester_6,GPA_Semester_7,GPA_Semester_8,GPA_Semester_9,GPA_Semester_10,GPA_Semester_11,GPA_Semester_12
ciit/fa14-bcs-202/isb,2,7,1,1,1,1,159,0,0,0,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,-0.05,NULL,1,28,952,1050,0.906666667,672,11.86,12.11,11.48,12.51,804,28,4,4,476,550,0.865455,359,15.52,13.06,15.47,20.18,21.03,478,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2089/isb,1,NULL,1,1,NULL,2,3495,36,36,38,NULL,NULL,2.725,2.44772727272727,2.53833333333333,NULL,2.7275,NULL,NULL,2.2,NULL,NULL,NULL,2.51,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2168,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2685,2.62,2.9,2.85,2.27,2.54,2.13,2.29,2.46,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2116/isb,1,7,1,1,1,1,3398,10,10,5,NULL,NULL,0.893333333333333,1.34,1.34,NULL,1.34,NULL,NULL,NULL,NULL,NULL,-0.03,1.34,1,28,806,1050,0.767619048,2954,-16.6,-16.19,-16.82,-1.65,3239,28,4,4,409,550,0.743636,2004,3.15,0.71,3.12,7.78,8.68,2048,1.34,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2251/isb,1,7,1,1,1,1,3379,8,8,4,NULL,NULL,0.76,0.76,0.76,NULL,0.76,NULL,NULL,NULL,NULL,NULL,-0.09,0.76,1,24,870,1050,0.828571429,2161,-12.75,-3.78,-4.41,4.56,2696,24,4,4,415,550,0.754545,1820,1.87,1.81,4.22,8.89,9.78,1968,0.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2270/isb,1,5,1,1,1,2,3455,27,28,30,NULL,NULL,2.078,2.15,1.75833333333333,NULL,2.15,NULL,NULL,1.92333333333333,NULL,NULL,0.18,2.09,1,28,613,1050,0.583809524,3462,-54.21,-53.6,-52.22,-20.37,3720,28,4,8,379,550,0.689091,2708,-2.39,-4.82,1.6,-2.59,3.15,3143,1.41,2.29,2.63,2.65,2.1,2.05,1.72,2.06,1.61,2.3,2.2,NULL
ciit/fa14-bcs-2275/isb,2,7,1,1,1,2,1173,66,63,66,NULL,NULL,3.14714285714286,3.01090909090909,2.81833333333333,NULL,3.0925,NULL,NULL,2.85,NULL,NULL,0.01,3.02,1,22,771,1050,0.734285714,3205,-22.44,-22.97,-23.6,-5.05,3453,28,4,4,408,550,0.741818,2038,2.96,0.52,2.93,7.6,8.49,2081,2.98,3.13,3.17,2.4,3.09,2.83,3.24,3.32,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2288/isb,1,NULL,1,1,NULL,1,3492,0,0,0,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2171,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2684,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2297/isb,2,7,1,1,1,2,1727,44,42,47,NULL,NULL,2.69166666666667,2.76909090909091,2.45666666666667,NULL,2.665,NULL,NULL,2.75333333333333,NULL,NULL,-0.04,2.74,1,28,813,1050,0.774285714,2880,-15.23,-14.83,-15.46,-0.97,3176,22,4,NULL,818,1100,0.743636,2004,0.04,0.71,3.12,NULL,8.68,2173,2.48,2.69,2.55,2.02,2.94,2.98,3,3.26,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2298/isb,1,7,1,1,1,2,2118,19,20,17,NULL,NULL,2.286,1.51409090909091,1.45166666666667,NULL,1.8325,NULL,NULL,1.66333333333333,NULL,NULL,-0.04,1.61,1,28,798,1050,0.76,3027,-18.15,-17.74,-18.37,-2.43,3303,28,4,4,401,550,0.729091,2217,1.67,-0.77,1.64,6.3,7.2,2257,2.61,1.25,2.58,1.05,0.8,0.74,1.23,1.65,1.77,1.58,2.42,NULL
ciit/fa14-bcs-2317/isb,1,4,1,1,1,2,3431,91,90,92,NULL,NULL,3.54714285714286,3.39818181818182,3.27833333333333,NULL,3.5525,NULL,NULL,3.23666666666667,NULL,NULL,-0.12,3.41,1,1,862,1100,0.783636364,2776,13.64,-12.93,-0.76,-0.02,2349,1,4,8,760,1100,0.690909,2683,-0.64,-4.64,-1.98,-2.4,3.33,3182,3.47,3.69,3.43,2.91,3.62,3.26,3.38,3.54,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2327/isb,1,1,1,1,1,1,3363,0,0,0,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,-0.14,NULL,1,28,933,1050,0.888571429,1026,8.16,8.43,9.61,10.67,1109,4,4,8,837,1100,0.760909,1728,-1.26,2.46,5.01,4.71,10.43,2003,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2381/isb,2,NULL,1,1,NULL,2,3493,49,47,50,NULL,NULL,3.20833333333333,2.52045454545455,2.71833333333333,NULL,2.9975,NULL,NULL,2.65,NULL,NULL,NULL,2.71,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2169,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2687,3.43,3.25,3.01,2.49,2.3,1.64,2.64,2.88,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2434/isb,1,NULL,1,1,NULL,2,3494,45,44,47,NULL,NULL,2.416,2.62681818181818,2.885,NULL,2.895,NULL,NULL,2.69666666666667,NULL,NULL,NULL,2.61,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2170,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2688,1.48,3.28,3.16,2.67,2.78,2.47,2.68,2.63,2.7,2.3,NULL,NULL
ciit/fa14-bcs-2469/isb,1,5,1,1,1,2,2481,21,22,21,NULL,NULL,2.31,2.15318181818182,2.16,NULL,2.3725,NULL,NULL,2.095,NULL,NULL,-0.18,2.18,1,28,824,1050,0.784761905,2758,-13.09,-12.7,-8.98,0.09,3034,28,4,4,354,550,0.643636,2995,-7.01,-9.43,-3.01,-2.39,-1.46,3484,2.12,2.46,2.58,2.32,2.33,1.87,1.79,2,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2518/isb,2,5,1,1,1,2,3410,94,92,95,NULL,NULL,3.41333333333333,3.55263157894737,3.4425,NULL,3.52,NULL,NULL,3.5,NULL,NULL,-0.21,3.52,1,28,921,1050,0.877142857,1278,5.82,6.1,10.89,9.5,1256,28,4,8,381,550,0.692727,2664,-2.02,-4.45,1.97,-2.22,3.52,3114,NULL,NULL,3.44,3.23,3.6,3.87,3.55,3.4,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2524/isb,1,NULL,1,1,NULL,1,3485,20,21,18,NULL,NULL,1.94,1.81217391304348,1.98333333333333,NULL,1.6925,NULL,NULL,1.28,NULL,NULL,NULL,1.97,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2159,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2694,2.3,1.5,2.87,1.6,1.65,1.85,1.63,0,NULL,2.19,2.14,NULL
ciit/fa14-bcs-2605/isb,2,5,1,1,1,2,3399,93,91,94,NULL,NULL,3.54142857142857,3.47318181818182,3.35833333333333,NULL,3.5525,NULL,NULL,3.42666666666667,NULL,NULL,-0.21,3.49,1,28,936,1050,0.891428571,963,8.74,9.01,13.97,10.96,948,28,4,8,389,550,0.707273,2524,-0.55,-2.98,3.45,-0.74,4.99,2407,3.52,3.41,3.61,2.99,3.67,3.63,3.44,3.66,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2636/isb,1,5,1,1,1,2,3057,62,59,61,NULL,NULL,2.15666666666667,2.68909090909091,2.39333333333333,NULL,2.4825,NULL,NULL,2.98,NULL,NULL,-1.00,2.55,2,27,630,900,0.7,3327,-21.89,-22.18,-27.22,-8.54,3489,27,1,4,0,1100,0,-1,NULL,NULL,NULL,NULL,NULL,2686,1.56,2.92,1.89,2.13,2.58,3.22,3.38,2.24,3.02,NULL,NULL,NULL
ciit/fa14-bcs-2655/isb,1,7,1,1,1,2,2043,43,41,46,NULL,NULL,2.292,2.64090909090909,2.745,NULL,2.36,NULL,NULL,2.67333333333333,NULL,NULL,-0.03,2.54,1,20,896,1050,0.853333333,1759,-6.41,1.26,0.63,7.08,2033,23,4,8,456,550,0.829091,785,6.76,9.37,11.78,11.63,17.34,1046,1.58,2.83,2.63,2.84,2.94,2.39,2.59,2.49,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2656/isb,1,5,1,1,1,1,3464,14,13,11,NULL,NULL,1.674,1.27916666666667,1.586,NULL,1.2675,NULL,NULL,1.035,NULL,NULL,-0.21,1.54,1,28,817,1050,0.778095238,2819,-14.45,-14.06,-10.42,-0.58,3096,28,4,8,339,550,0.616364,3101,-9.78,-12.2,-5.78,-9.97,-4.22,3609,2.01,1.29,2.14,1.77,1.39,1.47,0.68,0,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2659/isb,2,7,1,1,1,2,1789,63,61,62,NULL,NULL,2.79333333333333,3.03590909090909,2.775,NULL,3.08,NULL,NULL,2.59333333333333,NULL,NULL,-0.12,2.9,1,13,734,850,0.863529412,1566,22.8,3.33,2.7,8.12,1103,22,4,NULL,838,1100,0.761818,1706,1.9,2.55,4.96,NULL,10.52,1895,2.68,2.73,3.38,2.64,3.53,2.58,3.11,2.56,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2701/isb,1,NULL,1,1,NULL,2,3484,87,84,87,NULL,NULL,3.07666666666667,3.27136363636364,3.34333333333333,NULL,2.9525,NULL,NULL,3.435,NULL,NULL,NULL,3.15,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2160,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2691,3.05,3.6,3.3,3.24,3.35,3.63,3.18,1.86,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2709/isb,1,5,1,1,1,2,3444,92,91,93,NULL,NULL,3.62142857142857,3.43227272727273,3.495,NULL,3.58,NULL,NULL,3.46666666666667,NULL,NULL,-0.21,3.4,1,28,872,1050,0.83047619,2126,-3.73,-3.4,0.85,4.75,2381,28,4,8,361,550,0.656364,2928,-5.72,-8.14,-1.72,-5.91,-0.17,3416,3.44,3.9,3.61,3.34,3.37,3.34,3.36,3.53,2.7,NULL,NULL,NULL
ciit/fa14-bcs-2765/isb,1,7,1,1,1,2,3019,52,49,52,NULL,NULL,2.9875,2.84086956521739,2.938,NULL,2.61,NULL,NULL,2.74,NULL,NULL,-0.06,2.8,1,20,970,1050,0.923809524,392,16.65,15.6,14.97,14.26,500,20,4,4,476,550,0.865455,359,12.41,13.06,15.47,20.18,21.03,540,NULL,3.56,2.78,2.87,2.97,2.61,2.76,2.05,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2788/isb,1,7,1,1,1,1,3390,11,11,8,NULL,NULL,0.71,1.07,1.07,NULL,0.71,NULL,NULL,NULL,NULL,NULL,-0.02,0.89,1,22,806,1050,0.767619048,2954,-15.5,-16.19,-16.82,-1.65,3223,22,4,4,414,550,0.752727,1855,0.97,1.63,4.04,8.71,9.6,2019,0.71,1.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ciit/fa14-bcs-279/isb,1,7,1,1,1,2,1820,68,66,69,NULL,NULL,3.165,2.92136363636364,2.92,NULL,3.1225,NULL,NULL,2.78,NULL,NULL,0.06,2.99,1,20,739,1050,0.703809524,3319,-55.33,-29.18,-29.81,-8.15,3662,20,4,4,411,550,0.747273,1947,0.43,1.08,3.48,8.15,9.05,2120,3.04,3.41,2.89,2.62,3.15,2.94,2.7,3.2,NULL,NULL,NULL,NULL
ciit/fa14-bcs-2791/isb,1,NULL,1,1,NULL,1,3486,11,11,8,NULL,NULL,1.0825,0.4,0.965,NULL,0.6,NULL,NULL,1.2,NULL,NULL,NULL,1.56,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2161,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2689,1.2,1.93,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ciit/fa14-bcs-280/isb,1,7,1,1,1,2,1720,25,25,26,NULL,NULL,2.462,1.91954545454545,2.265,NULL,1.85,NULL,NULL,2.11666666666667,NULL,NULL,-1.00,2.06,2,27,698,900,0.775555556,2848,-3,-3.29,-15.2,-0.84,2836,27,1,8,0,1100,0,-1,NULL,NULL,NULL,NULL,NULL,2690,1.42,3.19,2.61,1.47,2.19,1.35,1.94,2.22,1.9,2.3,NULL,NULL
ciit/fa14-bcs-2803/isb,1,7,1,1,1,2,3343,24,24,25,NULL,NULL,2.275,2.18590909090909,2.185,NULL,2.385,NULL,NULL,2.085,NULL,NULL,0.00,2.19,1,22,841,1050,0.800952381,2578,-8.56,-9.4,-10.04,1.74,2902,22,4,4,442,550,0.803636,1131,6.2,6.79,9.2,13.89,14.76,1311,2.07,2.7,2.04,2.04,2.73,2.13,1.74,2.07,NULL,NULL,NULL,NULL
